name,id,primaryCuisineId,address,chainCode,chainName,chainMainCode,cuisines,heroImage,heroListingImage,latitude,longitude,minimumDeliveryTime,minimumDeliveryTimeUpperLimit,minimumDeliveryTimeLowerLimit,minimumOrderAmount,minimumPickupTime,postCode,rating,urlKey,reviewNumber,vendorPoints,webPath,legalName,tradeRegisterNumber,customerPhone,vertical,deliveryProvider,isActive,is_best_in_city,is_new,is_delivery_enabled,is_pickup_enabled,is_service_fee_enabled,is_test,is_promoted
Rashid Pakwan & Catering,88646,139,"Sardar Yaseen Malik Road,  Sardar Yaseen Malik Road shop E 36",,,,"Beverages, Pakistani, Biryani",https://images.deliveryhero.io/image/fd-pk/LH/i9zg-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/i9zg-listing.jpg,24.9385298,67.0422898,17015,180,160,0,10,74700,4.2,rashid-pakwan-and-catering,216,13339,https://foodpanda.pk/restaurant/i9zg/rashid-pakwan-and-catering,Osama Rashid Hussain,+923352904304,+923352904304,restaurants,dine_in,true,false,false,true,true,false,false,false
The Malt - Badar,46622,84,"Plot 28-C Mezzanine No 1, Badar Commercial Street Number 8, Badar Commercial Area Defence V Defence Housing Authority , Karachi",cs0pw,The Malt,n7cc,"Cakes & Bakery, Ice Cream, Shakes, Desserts",https://images.deliveryhero.io/image/fd-pk/LH/d2zo-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/d2zo-listing.jpg,24.7993042,67.0447171,0,,,0,15,75500,3.6,the-malt-badar,403,9805,https://foodpanda.pk/restaurant/d2zo/the-malt-badar,THE MALT,+923118436258,+923118436258,restaurants,dine_in,true,false,false,true,true,false,false,false
Baloch Vegetable Fruit & Chicken,92532,0,Badar commercial street #8 plot #38c shop #3 DHA phase 5 Karachi,,,,,https://images.deliveryhero.io/image/fd-pk/LH/aeha-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/aeha-listing.jpg,24.79882142,67.04411205,17010,180,160,0,10,75500,0,baloch-vegetable-fruit-and-chicken,0,0,https://foodpanda.pk/restaurant/aeha/baloch-vegetable-fruit-and-chicken,KHALID HUSSAIN,+923052511099,+923052511099,"fruits_and_vegetables, groceries",platform_delivery,true,false,false,true,false,false,false,false
Khatri Food Spot - Phase 2,11269,139,"Near A-One, Phase 2 Ext, DHA",ce5zr,Khatri Food Spot,t5jg,"Ice Cream, Wraps & Rolls, Samosa, Savouries, Pakistani, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/t1hr-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/t1hr-listing.jpg,24.8317134,67.0678618,17015,180,160,0,10,75500,4.2,khatri-food-spot-phase-2,1108,12704,https://foodpanda.pk/restaurant/t1hr/khatri-food-spot-phase-2,KHATRI FOOD SPOT,,+923401115460,restaurants,dine_in,true,false,false,true,true,false,false,false
Martabaan,93659,86,"Flat Number F-7, 2nd Floor, SA-18, Mohsin Centre, Building No. B, Sector 11C-2, North Karachi,
Near SHED Hospital",,,,"Beverages, Desserts, Chinese, Burgers, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/byn4-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/byn4-listing.jpg,24.9653514,67.0576917,0,,,0,15,71500,4.2,martabaan,9,9019,https://foodpanda.pk/restaurant/byn4/martabaan,SAIF ULLAH,+923129998116,+923129998116,home_based_kitchen,platform_delivery,true,false,false,true,false,false,false,false
Potato King,16075,103,"shop # 1, Shakeel Garden, Okhai Market Street, Mosamyaat, Karachi",,,,"Pasta, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/u4kq-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/u4kq-listing.jpg,24.9388184,67.1385167,0,,,0,20,75950,3.7,potato-king,739,0,https://foodpanda.pk/restaurant/u4kq/potato-king,ADNAN AHMED BILGRAMI,,+923009214446,restaurants,dine_in,true,false,false,true,true,false,false,false
BFC Fast Food & Bar B.Q,14542,86,"Plot # 636, C1 Area, Landi # 2, Near Babar Market, Karachi",,,,"Wraps & Rolls, Burgers, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/u4kn-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/u4kn-listing.jpg,24.84091955,67.19457915,17050,180,160,0,10,75230,3.5,bfc-fast-food-and-bar-b-q,659,12124,https://foodpanda.pk/restaurant/u4kn/bfc-fast-food-and-bar-b-q,Syed Sadiq,,+923363217681,restaurants,dine_in,true,false,false,true,true,false,false,false
PK Cluster TEST,60394,139,"Shop No 1, Plot 14 C, Main 26th Street, Phase V, DHA, Karachi, Pakistan",,,,"Beverages, Pakistani, Sandwiches, Burgers",https://images.deliveryhero.io/image/fd-pk/LH/weew-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/weew-listing.jpg,24.80776215,67.03742981,45,,,0,12,75500,0,pk-cluster-test,0,0,https://foodpanda.pk/restaurant/weew/pk-cluster-test,,,,restaurants,platform_delivery,true,false,false,true,true,false,true,false
Food junction,11797,139,"R-62, Block-6, P.E.C.H.S., Nursery, Opposite Ambala Bakers, Karachi-75400",cz7kx,Food junction,pism,"Wraps & Rolls, BBQ, Paratha, Pakistani, Burgers, Fast Food, Karahi & Handi",https://images.deliveryhero.io/image/fd-pk/LH/t9ya-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/t9ya-listing.jpg,24.8549179,67.0672417,0,,,0,12,75400,3.9,food-junction,1728,0,https://foodpanda.pk/restaurant/t9ya/food-junction,SHAZIA,,+923155069444,restaurants,dine_in,true,false,false,true,true,false,false,false
Zainab Kitchen,27026,139,244 E Market Block 6 PECHS Karachi,cl4nl,Zainab Kitchen,n8hi,"Beverages, Pakistani, Chinese, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/n8hi-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/n8hi-listing.jpg,24.854094,67.063967,17025,180,160,0,15,75400,3.6,zainab-kitchen-n8hi,2249,12707,https://foodpanda.pk/restaurant/n8hi/zainab-kitchen-n8hi,WASEEM AHMED,,+923176053980,"restaurants, home_based_kitchen",platform_delivery,true,false,false,true,false,false,false,false
